Stock,yr,ct,bt,TB
HH_H,1951,260804,8.8065,750000
HH_H,1952,174198,5.1317,638148
HH_H,1953,207146,9.1456,733860
HH_H,1954,197872,6.7651,682134
HH_H,1955,192267,6.7720,676880
HH_H,1956,194604,6.0647,631639
HH_H,1957,176936,6.9931,679432
HH_H,1958,232482,6.4488,700938
HH_H,1959,201095,7.6034,646658
HH_H,1960,156074,4.7445,598356
HH_H,1961,240714,6.1986,690806
HH_H,1962,221760,6.5499,647800
HH_H,1963,181914,6.4215,598646
HH_H,1964,195256,6.7450,642264
HH_H,1965,183078,7.7900,670815
HH_H,1966,209266,5.9721,764825
HH_H,1967,198255,6.9746,738772
HH_H,1968,189667,7.4590,696004
HH_H,1969,180824,7.1524,749047
HH_H,1970,195225,7.2016,783177
HH_H,1971,194960,7.9453,764889
HH_H,1972,205181,7.6624,723679
HH_H,1973,211943,8.1254,713026
HH_H,1974,187833,6.0557,721278
HH_H,1975,231636,7.7529,785154
HH_H,1976,197734,7.5209,720316
HH_H,1977,210574,7.2601,708872
HH_H,1978,181727,7.3704,703808
HH_H,1979,216366,6.7266,756573
HH_H,1980,202977,6.5943,725862
HH_H,1981,270228,6.9877,729740
HH_H,1982,182157,6.4365,624793
HH_H,1983,183286,6.4020,641120
HH_H,1984,223218,7.0779,720412
HH_H,1985,227494,7.4540,739745
HH_H,1986,244650,7.7632,770395
HH_H,1987,208743,6.6816,715984
HH_H,1988,189534,8.6294,722946
HH_H,1989,217837,8.6816,729865
HH_H,1990,199364,7.1696,697236
HH_H,1991,237435,8.2668,745658
HH_H,1992,203056,7.3460,698246
HH_H,1993,230635,7.7054,704759
HH_H,1994,158027,5.8132,620223
HH_H,1995,189480,6.3953,671235
HH_H,1996,165611,6.1226,660638
HH_H,1997,205587,6.0524,682060
HH_H,1998,249210,7.5804,801594
HH_H,1999,238754,7.6723,726404
HH_H,2000,238733,7.1922,710577
HH_L,1951,52324,6.5394,750000
HH_L,1952,57026,8.5688,751894
HH_L,1953,58386,6.6177,741067
HH_L,1954,52715,6.8272,731896
HH_L,1955,61241,8.0578,734605
HH_L,1956,64606,7.7738,721776
HH_L,1957,52245,7.0385,704275
HH_L,1958,39022,6.9763,718271
HH_L,1959,51168,7.5939,734020
HH_L,1960,58290,6.3733,740428
HH_L,1961,57868,7.3815,724533
HH_L,1962,58256,7.2321,721984
HH_L,1963,52812,8.2980,717121
HH_L,1964,49666,6.4336,719760
HH_L,1965,56288,6.3704,710666
HH_L,1966,57562,7.4869,722982
HH_L,1967,54856,7.7662,705971
HH_L,1968,55145,5.3946,691087
HH_L,1969,54799,6.0586,694790
HH_L,1970,51331,6.8140,703301
HH_L,1971,55290,7.3941,699168
HH_L,1972,58538,8.2334,698029
HH_L,1973,47938,6.5422,701098
HH_L,1974,53347,7.6673,697728
HH_L,1975,51046,6.9487,692744
HH_L,1976,48647,7.8862,696476
HH_L,1977,63985,7.2216,700318
HH_L,1978,48212,6.5858,681284
HH_L,1979,57751,6.8600,688970
HH_L,1980,55811,6.6072,679269
HH_L,1981,52013,6.6835,675373
HH_L,1982,51231,7.7700,673940
HH_L,1983,52871,7.4410,678500
HH_L,1984,44841,6.6512,677931
HH_L,1985,53885,7.5339,682780
HH_L,1986,52274,7.3232,718841
HH_L,1987,55574,5.8318,707387
HH_L,1988,40230,7.1817,697045
HH_L,1989,58100,6.9627,705005
HH_L,1990,64108,7.9268,691093
HH_L,1991,48870,7.1686,682915
HH_L,1992,59702,6.6884,689317
HH_L,1993,43449,7.2011,688871
HH_L,1994,54614,7.5339,689619
HH_L,1995,46508,6.0599,699460
HH_L,1996,40798,7.0594,700983
HH_L,1997,50238,7.9942,711842
HH_L,1998,49023,6.4806,700203
HH_L,1999,53212,7.8311,696890
HH_L,2000,44645,7.3232,676004
HH_M,1951,104989,8.3615,750000
HH_M,1952,90644,7.4440,719117
HH_M,1953,104437,6.9328,741426
HH_M,1954,117216,6.3961,710615
HH_M,1955,118279,4.7691,685505
HH_M,1956,98434,5.6418,639119
HH_M,1957,95053,5.4611,634238
HH_M,1958,99035,7.1723,675821
HH_M,1959,105130,7.8569,724790
HH_M,1960,106501,5.6070,705149
HH_M,1961,104890,7.2783,723602
HH_M,1962,124236,7.7493,733262
HH_M,1963,101599,7.4205,722099
HH_M,1964,127333,7.8458,764865
HH_M,1965,138905,8.2099,767688
HH_M,1966,99832,6.8563,740010
HH_M,1967,119913,6.5215,715949
HH_M,1968,112229,6.2088,673869
HH_M,1969,96511,6.7992,655071
HH_M,1970,100909,7.3558,688432
