Group,Region,Subregion,Stock,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,q.start,q.end,e.creep,force.cmsy,Comment,true.r,true.k,true.MSY,last.ct,last.cpue,last.TB,last.F_Fmsy
Simulated,Simulated,NA,HH_H,NA,Simulated data,NA,,1951,2000,1951,2000,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,1,1000000,250000,238733,7.192207229,710577,0.671941354422812
Simulated,Simulated,NA,HH_L,NA,Simulated data,NA,,1951,2000,1951,2000,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.25,1000000,62500,44645,7.32320483,676004,0.528341100526299
Simulated,Simulated,NA,HH_M,NA,Simulated data,NA,,1951,2000,1951,2000,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.5,1000000,125000,109702,5.958402912,695794,0.630657167736687
Simulated,Simulated,NA,HH_VL,NA,Simulated data,NA,,1951,2000,1951,2000,Very low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.06,1000000,15000,11366,6.133963283,717828,0.527813390576203
Simulated,Simulated,NA,HL_H,NA,Simulated data,NA,,1951,2000,1951,2000,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,1,1000000,250000,198626,2.851449455,265263,1.49757793497551
Simulated,Simulated,NA,HL_L,NA,Simulated data,NA,,1951,2000,1951,2000,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.25,1000000,62500,46191,2.233005613,236616,1.5617305801407
Simulated,Simulated,NA,HL_M,NA,Simulated data,NA,,1951,2000,1951,2000,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.5,1000000,125000,69287,1.621861748,160566,1.72606498935305
Simulated,Simulated,NA,HL_VL,NA,Simulated data,NA,,1951,2000,1951,2000,Very low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.06,1000000,15000,17650,3.372982228,311622,1.88799953276388
Simulated,Simulated,NA,HLH_H,NA,Simulated data,NA,,1951,2000,1951,2000,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,1,1000000,250000,209914,5.577187838,656752,0.6392489777174
Simulated,Simulated,NA,HLH_L,NA,Simulated data,NA,,1951,2000,1951,2000,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.25,1000000,62500,47394,5.377187578,651589,0.581884238679133
Simulated,Simulated,NA,HLH_M,NA,Simulated data,NA,,1951,2000,1951,2000,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.5,1000000,125000,103123,6.213224205,717245,0.575103720549892
Simulated,Simulated,NA,HLH_VL,NA,Simulated data,NA,,1951,2000,1951,2000,Very low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,NA,NA,F,NA,0.06,1000000,15000,1590,6.159063175,568755,0.093205942367245
