Stock,yr,ct,bt
Acadian redfish - Gulf of Maine / Georges Bank,1950,34307,222965
Acadian redfish - Gulf of Maine / Georges Bank,1951,30077,200797
Acadian redfish - Gulf of Maine / Georges Bank,1952,21377,184790
Acadian redfish - Gulf of Maine / Georges Bank,1953,16791,175663
Acadian redfish - Gulf of Maine / Georges Bank,1954,12988,170804
Acadian redfish - Gulf of Maine / Georges Bank,1955,13914,167864
Acadian redfish - Gulf of Maine / Georges Bank,1956,14388,164281
Acadian redfish - Gulf of Maine / Georges Bank,1957,18490,158768
Acadian redfish - Gulf of Maine / Georges Bank,1958,16047,151872
Acadian redfish - Gulf of Maine / Georges Bank,1959,15521,146515
Acadian redfish - Gulf of Maine / Georges Bank,1960,11375,143119
Acadian redfish - Gulf of Maine / Georges Bank,1961,14101,141039
Acadian redfish - Gulf of Maine / Georges Bank,1962,14134,137442
Acadian redfish - Gulf of Maine / Georges Bank,1963,10046,135444
Acadian redfish - Gulf of Maine / Georges Bank,1964,8352,136451
Acadian redfish - Gulf of Maine / Georges Bank,1965,8056,138614
Acadian redfish - Gulf of Maine / Georges Bank,1966,8566,140801
Acadian redfish - Gulf of Maine / Georges Bank,1967,10775,141796
Acadian redfish - Gulf of Maine / Georges Bank,1968,6775,142875
Acadian redfish - Gulf of Maine / Georges Bank,1969,12412,143570
Acadian redfish - Gulf of Maine / Georges Bank,1970,16743,138398
Acadian redfish - Gulf of Maine / Georges Bank,1971,20011,127972
Acadian redfish - Gulf of Maine / Georges Bank,1972,19110,114363
Acadian redfish - Gulf of Maine / Georges Bank,1973,17364,100519
Acadian redfish - Gulf of Maine / Georges Bank,1974,10485,89774
Acadian redfish - Gulf of Maine / Georges Bank,1975,10571,82855
Acadian redfish - Gulf of Maine / Georges Bank,1976,10693,76448
Acadian redfish - Gulf of Maine / Georges Bank,1977,13216,69696
Acadian redfish - Gulf of Maine / Georges Bank,1978,14076,61381
Acadian redfish - Gulf of Maine / Georges Bank,1979,14748,51658
Acadian redfish - Gulf of Maine / Georges Bank,1980,9897,42676
Acadian redfish - Gulf of Maine / Georges Bank,1981,7920,36161
Acadian redfish - Gulf of Maine / Georges Bank,1982,6907,30563
Acadian redfish - Gulf of Maine / Georges Bank,1983,5330,25991
Acadian redfish - Gulf of Maine / Georges Bank,1984,4793,22553
Acadian redfish - Gulf of Maine / Georges Bank,1985,4282,19701
Acadian redfish - Gulf of Maine / Georges Bank,1986,3053,17701
Acadian redfish - Gulf of Maine / Georges Bank,1987,1895,16948
Acadian redfish - Gulf of Maine / Georges Bank,1988,1157,17299
Acadian redfish - Gulf of Maine / Georges Bank,1989,672,18506
Acadian redfish - Gulf of Maine / Georges Bank,1990,640,20337
Acadian redfish - Gulf of Maine / Georges Bank,1991,2029,18744
Acadian redfish - Gulf of Maine / Georges Bank,1992,967,16322
Acadian redfish - Gulf of Maine / Georges Bank,1993,898,18673
Acadian redfish - Gulf of Maine / Georges Bank,1994,536,22086
Acadian redfish - Gulf of Maine / Georges Bank,1995,643,27050
