Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments,
North America,Northeast Shelf,Gulf of Maine / Georges Bank,Acadian redfish - Gulf of Maine / Georges Bank,NA,Acadian redfish,Sebastes fasciatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1913,2016,1950,1995,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.3,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ASAP,
South America,CCSBT; ICCAT,North Patagonian Gulfs,Acan_bra_NPatagonianGulfs,Medium benthopelagics (30 - 89 cm),Argentine seabass in North Patagonian Gulfs,Acanthistius brasilianus,,"Romero, M.A., et al. (2008) An�lisis hist�rico de la composici�n por especie de los desembarcos de la pesquer�a de arrastre demersal del golfo San Mat�as: identificaci�n y caracterizaci�n de ciclos productivos. IBMP. Ser. Publ. 7:1-25.; El�as, I., and Pereiro, R. (2003) Estudios sobre la factibilidad de una pesquer�a artesanal con palangres en los golfos y costa de la Provincia del Chubut, Argentina. INIDEP Informe T�cnico 55:1-21.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.8,1,NA,NA,NA,0.01,0.2,CPUE,2,F,"Changed intb=0.2-0.6 (1991), e.creep added, styr=1970, q=1990-1996 to exclude outliers. catch trend has been verified by Gelli and is reliable. Exploitation began in 1978. RF OK",
Europe,NEAFC; NASCO; ICCAT; ICES,Celtic Seas,Aequ_ope_Celtic,Other demersal invertebrates,Queen scallop in Celtic Seas,Aequipecten opercularis,,"Bloor, I.S.M., and Kaiser, M.J. (2016) The Isle of Man Aequipecten opercularis stock assessment 2016. Fisheries and Conservation Report No. 66, Bangor University. 36 p.",1993,2015,1994,2015,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.842,0.01,0.15,NA,NA,NA,NA,NA,CPUE,NA,F,"Medium resilience assumed. CPUE from sample of Isle of Man territorial sea assessment median biomass 1993-2016. (Biomass windows used in SAU CMSY analyses from FIRS/S114. Changed q=2000-2010 (MLDP). Adjsuted int. bio. year to 2007, 0.5-0.9)",
North America,Alaska Ecosystem Complex,Bering Sea / Aleutian Islands,Alaska skate - Bering Sea / Aleutian Islands,NA,Alaska skate,Bathyraja parmifera,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1950,2014,1960,2014,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.7,1,NA,NA,NA,0.5,0.8,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
Global,South Atlantic,NA,alb.satl,NA,Albacore tuna,Thunnus alalunga,,https://www.iccat.int/Documents/Meetings/Docs/2020/REPORTS/2020_ALB_ENG.pdf,1956,2018,1956,2005,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.34,0.78,0.85,0.95,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,2020 ICCAT JABBA assessment as used for advice. RF OK,
North America,Northeast Shelf,Gulf of Maine / Georges Bank,American plaice - Gulf of Maine / Georges Bank,NA,American plaice,Hippoglossoides platessoides,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1960,2018,1980,2005,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.7,0.8,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ADAPT,
Europe,Northern Europe,NA,anf.27.3a46,NA,Anglerfish (Lophius budegassa. Lophius piscatorius) in subareas 4 and 6. and Division 3.a (North Sea. Rockall and West of Scotland. Skagerrak and Kattegat),Lophius piscatorius,,https://standardgraphs.ices.dk/stockList.aspx,1991,2020,2005,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.3168,0.72,0.01,0.2,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: B_index. RF: OK,
Europe,Northern Europe,NA,ank.27.78abd,NA,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),Lophius budegassa,,https://standardgraphs.ices.dk/stockList.aspx,1986,2019,2003,2019,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.288293,0.655211,0.01,0.15,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: Biomass Index,
North America,IPHC; NPAFC; WCPFC,Aleutian Islands,Anop_fim_Aleutian,Large bathydemersals (>=90 cm),Sablefish in Aleutian Islands,Anoplopoma fimbria,,"Hanselman, D.H., et al. (2018) 3. Assessment of the sablefish stock in Alaska. In: Plan Team for the Groundfish Fisheries of the Gulf of Alaska (compiler). Stock assessment and fishery evaluation report for the groundfish resources of the Gulf of Alaska. North Pacific Fishery Management Council, 605 W. 4th Avenue Suite 306, Anchorage, AK 99501.",1950,2018,1980,2017,NA,NA,NA,NA,NA,92729,NA,NA,Very low,0.06,0.16,0.6,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,"Changed styr=1970, stb=0.6-1, intb=2002 (0.1 - 0.4). typo in stbio. Set to 0.6-1.",
Europe,Mediterranean,western Mediterrannean,ara_6.7,NA,Blue and red shrimp (Aristeus antennatus) in GSAs 6 and 7,Aristeus antennatus,,STECF-20-09,2002,2019,2002,2019,NA,NA,NA,NA,NA,NA,0.29,NA,Medium,0.32,0.72,0.2,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 1-2 ; type of abundance: survey data ; SSB - estimated from assessment ; assessment method: a4a,
Asia,WCPFC,Sea of Japan/East Sea,Arct_jap_JapanSea,Small bathydemersals (<30 cm),Japanese sandfish in Sea of Japan/East Sea,Arctoscopus japonicus,,"Fujiwara, K., et al. (2019) Stock assessment and evaluation of Arctoscopus japonicus in the Western Sea of Japan (fiscal year 2018). pp. 1554-1589. In: Marine Fisheries Stock Assessment and Evaluation for Japanese Waters (fiscal year2018/2019). Fisheries Agency and Fisheries Research and Education Agency of Japan.; Hoshino, N. (2016) Hatahata (Sea of Japan). In: Past Resource Evaluation Report (Resource Assessment of Major Fish Species in the Coastal Waters of Hokkaido). Fisheries Research Division, Hokkaido Research Institute. Accessed [21 November 2019]. Retrieved http://www.fishexp.hro.or.jp/exp/central/kanri/SigenHyoka/Kokai/DLFILES/2016hyouka/25_hataha_jps_2016.pdf; Ren, Q-Q., and Liu, M. (2020) Assessing Northwest Pacific fishery stocks using two new methods: the Monte-Carlo Catch-MSY (CMSY) and the Bayesian Schaefer Model (BSM). Frontiers in Marine Science 7(430):1-9.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.01,0.2,CPUE,NA,F,BCrumb data used. RF OK,
Asia,WCPFC,Northeastern Honshu,Arct_jap_NEHonshu,Small bathydemersals (<30 cm),Japanese sandfish in Northeastern Honshu,Arctoscopus japonicus,,"Castle, M. (2017) Hatahata (Hidaka). In: Past Resource Evaluation Report (Resource Assessment of Major Fish Species in the Coastal Waters of Hokkaido). Fisheries Research Division, Hokkaido Research Institute. Accessed [21 November 2019]. Retrieved http://www.fishexp.hro.or.jp/exp/central/kanri/SigenHyoka/Kokai/DLFILES/2017hyouka/27_hatahata_hidaka_2017.pdf; Masahiro, M. (2017) Hatahata (Toshima/Iburi). In: Past Resource Evaluation Report (Resource Assessment of Major Fish Species in the Coastal Waters of Hokkaido). Fisheries Research Division, Hokkaido Research Institute. Accessed [21 November 2019]. Retrieved http://www.fishexp.hro.or.jp/exp/central/kanri/SigenHyoka/Kokai/DLFILES/2017hyouka/26_hataha_totan_2017.pdf",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.01,0.4,CPUE,NA,F,BCrumb data used. RF OK,
Australia,Indo-Pacific,Australia,arri_tru_e,pelagic,Australian_salmon_E,Arripis truttis,,FishBase,1950,2017,1984,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.31,0.72,0.01,0.15,NA,NA,NA,NA,NA,CPUE,NA,FALSE,CPUE of NS was given less weightbecouseofthe conflicting patterns with the other CPUEs,
Australia,CCSBT; IOTC; WCPFC,"Houtman, Leeuwin, Great Australian Bight, South Australian Gulfs, Western Bassian and Bassian",Arri_tru_SAustralia,Medium pelagics (30 - 89 cm),"Australian salmon in Houtman, Leeuwin, Great Australian Bight, South Australian Gulfs, Western Bassian and Bassian",Arripis trutta,,"Fletcher, W.J., and Santoro, K. (2012) Status Reports of the Fisheries and Aquatic Resources of Western Australia 2011/12: The State of the Fisheries. Department of Fisheries, Western Australia.",1965,2010,1995,2010,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.313,0.724,0.5,0.8,NA,NA,NA,0.03,0.3,CPUE,2,F,"SAU run with catch from multiple marine ecoregions: Bassian, Western Bassian, Great Australia Bight, Southern Australian Gulfs, Leeuwin and Houtman, startyr=1970 and interbio to CPUE point with the lowest residual: 2003 at 0.2-0.6. CPUE from industrial trawl fisheries.",
North America,Alaska Ecosystem Complex,Bering Sea / Aleutian Islands,Arrowtooth flounder - Bering Sea / Aleutian Islands,NA,Arrowtooth flounder,Reinhardtius stomias,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1976,2017,1976,2013,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.01,0.2,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Custom SCAA,
North America,Alaska Ecosystem Complex,Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,NA,Arrowtooth flounder,Reinhardtius stomias,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1964,2018,1975,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Custom SCAA,
North America,California Current,Pacific Coast,Arrowtooth flounder - Pacific Coast,NA,Arrowtooth flounder,Reinhardtius stomias,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2016,1950,2010,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.6,0.7,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis,
Europe,Mediterranean,western Mediterrannean,ars_9.10.11,NA,"Giant red shrimp (Aristaeomorpha foliacea) in GSAs 9, 10 and 11",Aristaeomorpha foliacea,,STECF-20-09,2005,2019,2005,2019,NA,NA,NA,NA,NA,NA,0.48,NA,Medium,0.3,0.73,0.4,0.5,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 1-3 ; type of abundance: survey data ; SSB - estimated from assessment ; assessment method: a4a,
North America,Alaska Ecosystem Complex,Bering Sea / Aleutian Islands,Atka mackerel - Bering Sea / Aleutian Islands,NA,Atka mackerel,Pleurogrammus monopterygius,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1977,2018,1977,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.0974121,0.4,0.45,0.55,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: AMAK,
North America,Northeast Shelf,Georges Bank,Atlantic cod - Georges Bank,NA,Atlantic cod,Gadus morhua,69,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1981,2018,1987,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.342694,0.77885,0.1,0.4,NA,NA,NA,0.03,0.2,CPUE,NA,FALSE,NOAA Assessment model: Plan B Smooth. RF OK,
North America,Northeast Shelf,Northwestern Atlantic Coast,Atlantic herring - Northwestern Atlantic Coast,NA,Atlantic herring,Clupea harengus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1965,2017,1967,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.299955,0.681717,0.9,1,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ASAP,
North America,Northeast Shelf,Gulf of Maine / Cape Hatteras,Atlantic mackerel - Gulf of Maine / Cape Hatteras,NA,Atlantic mackerel,Scomber scombrus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1960,2016,1968,2015,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.307664,0.754824,0.5,0.6,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ASAP,
North America,Northeast Shelf,Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,NA,Atlantic wolffish,Anarhichas lupus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1968,2016,1968,2010,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: SCALE,
South America,IATTC,Humboldtian,Aula_ate_Humboldtian,Other demersal invertebrates,Chilean ribbed mussel in Humboldtian,Aulacomya ater,,"Sol�s, M.A., et al. (2019) The Early Life History Transitions of the Bivalve Aulacomya atra from the Humboldt Current System off Peru are affected by Human Exploitation and Modulated by El Ni�o-La Ni�a cycle. Frontiers in Marine Science 6(496):1-11.",1953,2018,1953,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.8,1,NA,NA,NA,0.01,0.3,CPUE,NA,F,RF OK,
Africa,ICCAT,Namaqua,Aust_pec_Namaqua,Small to medium flatfishes (<90 cm),Mud sole in Namaqua,Austroglossus pectoralis,,,1970,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,0.01,0.2,None,NA,F,,
Europe,GFCM; ICCAT,Tunisian Plateau/Gulf of Sidra,Belo_bel_TunisianPGSidra,Medium pelagics (30 - 89 cm),Garfish in Tunisian Plateau/Gulf of Sidra,Belone belone,,,1950,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.29,0.65,NA,NA,NA,NA,NA,0.05,0.25,None,NA,F,,
Global,Atlantic,NA,bet.atl,NA,Bigeye Tuna,Thunnus obesus,,https://iccat.int/Documents/SCRS/DetRep/BET_SA_ENG.pdf,1950,2016,1950,2006,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.43,0.98,0.8,1,NA,NA,NA,0.04,0.3,CPUE,NA,FALSE,2018 ICCAT JABBA reference model (Fox),
Global,Indian Ocean,NA,bet.io,NA,Bigeye Tuna,Thunnus obesus,,https://www.iotc.org/sites/default/files/documents/2019/12/IOTC-2019-WPTT21-RE_0.pdf,1975,2018,1975,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.43,0.98,0.6,0.9,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,IOTC Stock Synthesis Grid median SSB as used for IOTC advice. RF OK,
North America,California Current,California,Black rockfish - California,NA,Black rockfish,Sebastes melanops,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2018,1950,1998,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.55,0.65,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: SS,
North America,California Current,Northern Pacific Coast,Black rockfish - Northern Pacific Coast,NA,Black rockfish,Sebastes melanops,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1915,2007,1965,2000,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis,
North America,California Current,Oregon,Black rockfish - Oregon,NA,Black rockfish,Sebastes melanops,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1892,2018,1959,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.8,0.9,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
